"date","IND","FREQ","DIM","obsValue"
2021-12-01,"GDP_COMP","Q","NFCE",4.531
2022-03-01,"GDP_COMP","Q","NFCE",4.999
2022-06-01,"GDP_COMP","Q","NFCE",3.52
2022-09-01,"GDP_COMP","Q","NFCE",2.445
2022-12-01,"GDP_COMP","Q","NFCE",1.117
2023-03-01,"GDP_COMP","Q","NFCE",2.116
2023-06-01,"GDP_COMP","Q","NFCE",0.823
2023-09-01,"GDP_COMP","Q","NFCE",-0.148
2021-06-01,"GDP_COMP","Q","FCE_H_NPISH",7.97
2021-09-01,"GDP_COMP","Q","FCE_H_NPISH",2.376
2021-12-01,"GDP_COMP","Q","FCE_H_NPISH",4.219
2022-03-01,"GDP_COMP","Q","FCE_H_NPISH",4.67
2022-06-01,"GDP_COMP","Q","FCE_H_NPISH",3.354
2022-09-01,"GDP_COMP","Q","FCE_H_NPISH",2.356
2022-12-01,"GDP_COMP","Q","FCE_H_NPISH",1.134
2023-03-01,"GDP_COMP","Q","FCE_H_NPISH",2.134
2023-06-01,"GDP_COMP","Q","FCE_H_NPISH",0.892
2023-09-01,"GDP_COMP","Q","FCE_H_NPISH",-0.084
2021-06-01,"GDP_COMP","Q","CGG",0.585
2021-09-01,"GDP_COMP","Q","CGG",0.279
2021-12-01,"GDP_COMP","Q","CGG",0.312
2022-03-01,"GDP_COMP","Q","CGG",0.329
2022-06-01,"GDP_COMP","Q","CGG",0.166
2022-09-01,"GDP_COMP","Q","CGG",0.09
2022-12-01,"GDP_COMP","Q","CGG",-0.017
2023-03-01,"GDP_COMP","Q","CGG",-0.018
2023-06-01,"GDP_COMP","Q","CGG",-0.069
2023-09-01,"GDP_COMP","Q","CGG",-0.065
2021-06-01,"GDP_COMP","Q","GFCF",6.914
2021-09-01,"GDP_COMP","Q","GFCF",2.56
2021-12-01,"GDP_COMP","Q","GFCF",3.058
2022-03-01,"GDP_COMP","Q","GFCF",2.869
2022-06-01,"GDP_COMP","Q","GFCF",2.43
2022-09-01,"GDP_COMP","Q","GFCF",1.693
2022-12-01,"GDP_COMP","Q","GFCF",1.306
2023-03-01,"GDP_COMP","Q","GFCF",0.755
2023-06-01,"GDP_COMP","Q","GFCF",-0.082
2023-09-01,"GDP_COMP","Q","GFCF",-0.054
2021-06-01,"GDP_COMP","Q","CIA",-0.617
2021-09-01,"GDP_COMP","Q","CIA",1.852
2021-12-01,"GDP_COMP","Q","CIA",1.259
2022-03-01,"GDP_COMP","Q","CIA",-1.077
2022-06-01,"GDP_COMP","Q","CIA",-0.033
2022-09-01,"GDP_COMP","Q","CIA",0.006
2022-12-01,"GDP_COMP","Q","CIA",-1.673
2023-03-01,"GDP_COMP","Q","CIA",-0.791
2023-06-01,"GDP_COMP","Q","CIA",0.545
2023-09-01,"GDP_COMP","Q","CIA",-0.647
2021-06-01,"GDP_COMP","Q","ND",15.469
2021-09-01,"GDP_COMP","Q","ND",5.215
2021-12-01,"GDP_COMP","Q","ND",7.589
2022-03-01,"GDP_COMP","Q","ND",7.868
2022-06-01,"GDP_COMP","Q","ND",5.95
2022-09-01,"GDP_COMP","Q","ND",4.138
2022-12-01,"GDP_COMP","Q","ND",2.423
2023-03-01,"GDP_COMP","Q","ND",2.871
2023-06-01,"GDP_COMP","Q","ND",0.741
2023-09-01,"GDP_COMP","Q","ND",-0.202
2021-06-01,"GDP_COMP","Q","EBGS",3.2
2021-09-01,"GDP_COMP","Q","EBGS",-0.39
2021-12-01,"GDP_COMP","Q","EBGS",-0.885
2022-03-01,"GDP_COMP","Q","EBGS",-0.446
2022-06-01,"GDP_COMP","Q","EBGS",-0.784
2022-09-01,"GDP_COMP","Q","EBGS",-1.536
2022-12-01,"GDP_COMP","Q","EBGS",0.884
2023-03-01,"GDP_COMP","Q","EBGS",0.043
2023-06-01,"GDP_COMP","Q","EBGS",-0.945
2023-09-01,"GDP_COMP","Q","EBGS",0.988
2022-11-01,"IPPI","M","IT",137.4
2022-12-01,"IPPI","M","IT",136.3
2023-01-01,"IPPI","M","IT",136.6
2023-02-01,"IPPI","M","IT",136
2023-03-01,"IPPI","M","IT",135.4
2023-04-01,"IPPI","M","IT",134.6
2023-05-01,"IPPI","M","IT",133.6
2023-06-01,"IPPI","M","IT",132.5
2023-07-01,"IPPI","M","IT",130.6
2023-08-01,"IPPI","M","IT",130.5
2023-09-01,"IPPI","M","IT",129.9
2023-10-01,"IPPI","M","IT",129.1
2023-11-01,"IPPI","M","IT",128.5
2022-12-01,"CPI","M","IT",119
2023-01-01,"CPI","M","IT",119.1
2023-02-01,"CPI","M","IT",119.3
2023-03-01,"CPI","M","IT",118.8
2023-04-01,"CPI","M","IT",119.3
2023-05-01,"CPI","M","IT",119.7
2023-06-01,"CPI","M","IT",119.7
2023-07-01,"CPI","M","IT",119.7
2023-08-01,"CPI","M","IT",120.1
2023-09-01,"CPI","M","IT",120.3
2023-10-01,"CPI","M","IT",120.1
2023-11-01,"CPI","M","IT",119.5
2023-12-01,"CPI","M","IT",119.7
2022-12-01,"CPI","M","ITC",118.3
2023-01-01,"CPI","M","ITC",118.4
2023-02-01,"CPI","M","ITC",118.8
2023-03-01,"CPI","M","ITC",118.3
2023-04-01,"CPI","M","ITC",118.9
2023-05-01,"CPI","M","ITC",119.1
2023-06-01,"CPI","M","ITC",119.3
2023-07-01,"CPI","M","ITC",119.2
2023-08-01,"CPI","M","ITC",119.5
2023-09-01,"CPI","M","ITC",119.8
2023-10-01,"CPI","M","ITC",119.5
2023-11-01,"CPI","M","ITC",118.8
2023-12-01,"CPI","M","ITC",119.1
2022-12-01,"CPI","M","ITC1",118.4
2023-01-01,"CPI","M","ITC1",118.5
2023-02-01,"CPI","M","ITC1",118.8
2023-03-01,"CPI","M","ITC1",118.5
2023-04-01,"CPI","M","ITC1",119
2023-05-01,"CPI","M","ITC1",119.3
2023-06-01,"CPI","M","ITC1",119.1
2023-07-01,"CPI","M","ITC1",119.2
2023-08-01,"CPI","M","ITC1",119.5
2023-09-01,"CPI","M","ITC1",119.5
2023-10-01,"CPI","M","ITC1",119.5
2023-11-01,"CPI","M","ITC1",119.1
2023-12-01,"CPI","M","ITC1",119.3
2022-12-01,"CPI","M","ITC11",117.9
2023-01-01,"CPI","M","ITC11",118
2023-02-01,"CPI","M","ITC11",118.3
2023-03-01,"CPI","M","ITC11",118
2023-04-01,"CPI","M","ITC11",118.5
2023-05-01,"CPI","M","ITC11",118.7
2023-06-01,"CPI","M","ITC11",118.5
2023-07-01,"CPI","M","ITC11",118.6
2023-08-01,"CPI","M","ITC11",118.8
2023-09-01,"CPI","M","ITC11",118.9
2023-10-01,"CPI","M","ITC11",118.9
2023-11-01,"CPI","M","ITC11",118.7
2023-12-01,"CPI","M","ITC11",118.7
2022-12-01,"CPI","M","ITC12",116.8
2023-01-01,"CPI","M","ITC12",116.7
2023-02-01,"CPI","M","ITC12",117.1
2023-03-01,"CPI","M","ITC12",116.7
2023-04-01,"CPI","M","ITC12",117.1
2023-05-01,"CPI","M","ITC12",117.3
2023-06-01,"CPI","M","ITC12",117.4
2023-07-01,"CPI","M","ITC12",117.3
2023-08-01,"CPI","M","ITC12",117.9
2023-09-01,"CPI","M","ITC12",117.5
2023-10-01,"CPI","M","ITC12",117.6
2023-11-01,"CPI","M","ITC12",116.7
2023-12-01,"CPI","M","ITC12",116.9
2022-12-01,"CPI","M","ITC15",118.4
2023-01-01,"CPI","M","ITC15",118.6
2023-02-01,"CPI","M","ITC15",119
2023-03-01,"CPI","M","ITC15",118.9
2023-04-01,"CPI","M","ITC15",119.3
2023-05-01,"CPI","M","ITC15",119.7
2023-06-01,"CPI","M","ITC15",119.4
2023-07-01,"CPI","M","ITC15",119.5
2023-08-01,"CPI","M","ITC15",120
2023-09-01,"CPI","M","ITC15",120
2023-10-01,"CPI","M","ITC15",119.7
2023-11-01,"CPI","M","ITC15",118.9
2023-12-01,"CPI","M","ITC15",119.3
2022-12-01,"CPI","M","ITC16",118.5
2023-01-01,"CPI","M","ITC16",118.8
2023-02-01,"CPI","M","ITC16",119.1
2023-03-01,"CPI","M","ITC16",118.5
2023-04-01,"CPI","M","ITC16",119.1
2023-05-01,"CPI","M","ITC16",119.2
2023-06-01,"CPI","M","ITC16",119
2023-07-01,"CPI","M","ITC16",119.2
2023-08-01,"CPI","M","ITC16",119.8
2023-09-01,"CPI","M","ITC16",119.5
2023-10-01,"CPI","M","ITC16",119.5
2023-11-01,"CPI","M","ITC16",119.3
2023-12-01,"CPI","M","ITC16",119.7
2023-01-01,"CPI","M","ITC17",NA
2023-02-01,"CPI","M","ITC17",NA
2023-03-01,"CPI","M","ITC17",NA
2023-04-01,"CPI","M","ITC17",NA
2023-05-01,"CPI","M","ITC17",NA
2023-06-01,"CPI","M","ITC17",NA
2023-07-01,"CPI","M","ITC17",NA
2023-08-01,"CPI","M","ITC17",NA
2023-09-01,"CPI","M","ITC17",NA
2023-10-01,"CPI","M","ITC17",NA
2023-11-01,"CPI","M","ITC17",NA
2023-12-01,"CPI","M","ITC17",NA
2022-12-01,"CPI","M","ITC18",119.1
2023-01-01,"CPI","M","ITC18",119.1
2023-02-01,"CPI","M","ITC18",119.8
2023-03-01,"CPI","M","ITC18",119.5
2023-04-01,"CPI","M","ITC18",119.9
2023-05-01,"CPI","M","ITC18",120.3
2023-06-01,"CPI","M","ITC18",120.3
2023-07-01,"CPI","M","ITC18",120.4
2023-08-01,"CPI","M","ITC18",121
2023-09-01,"CPI","M","ITC18",121
2023-10-01,"CPI","M","ITC18",121.1
2023-11-01,"CPI","M","ITC18",120.6
2023-12-01,"CPI","M","ITC18",120.9
2022-12-01,"CPI","M","ITC13",118.4
2023-01-01,"CPI","M","ITC13",118.4
2023-02-01,"CPI","M","ITC13",118.4
2023-03-01,"CPI","M","ITC13",118.1
2023-04-01,"CPI","M","ITC13",118.6
2023-05-01,"CPI","M","ITC13",119.1
2023-06-01,"CPI","M","ITC13",118.9
2023-07-01,"CPI","M","ITC13",118.9
2023-08-01,"CPI","M","ITC13",119.3
2023-09-01,"CPI","M","ITC13",119
2023-10-01,"CPI","M","ITC13",118.8
2023-11-01,"CPI","M","ITC13",118.2
2023-12-01,"CPI","M","ITC13",118.4
2023-01-01,"CPI","M","ITC14",NA
2023-02-01,"CPI","M","ITC14",NA
2023-03-01,"CPI","M","ITC14",NA
2023-04-01,"CPI","M","ITC14",NA
2023-05-01,"CPI","M","ITC14",NA
2023-06-01,"CPI","M","ITC14",NA
2023-07-01,"CPI","M","ITC14",NA
2023-08-01,"CPI","M","ITC14",NA
2023-09-01,"CPI","M","ITC14",NA
2023-10-01,"CPI","M","ITC14",NA
2023-11-01,"CPI","M","ITC14",NA
2023-12-01,"CPI","M","ITC14",NA
2022-12-01,"CPI","M","ITC2",115.3
2023-01-01,"CPI","M","ITC2",116.6
2023-02-01,"CPI","M","ITC2",116.8
2023-03-01,"CPI","M","ITC2",116.9
2023-04-01,"CPI","M","ITC2",117.2
2023-05-01,"CPI","M","ITC2",117
2023-06-01,"CPI","M","ITC2",116.5
2023-07-01,"CPI","M","ITC2",117
2023-08-01,"CPI","M","ITC2",117.9
2023-09-01,"CPI","M","ITC2",117
2023-10-01,"CPI","M","ITC2",116.4
2023-11-01,"CPI","M","ITC2",115.4
2023-12-01,"CPI","M","ITC2",116.5
2022-12-01,"CPI","M","ITC20",115
2023-01-01,"CPI","M","ITC20",116.4
2023-02-01,"CPI","M","ITC20",116.6
2023-03-01,"CPI","M","ITC20",116.6
2023-04-01,"CPI","M","ITC20",116.9
2023-05-01,"CPI","M","ITC20",116.7
2023-06-01,"CPI","M","ITC20",116.2
2023-07-01,"CPI","M","ITC20",116.7
2023-08-01,"CPI","M","ITC20",117.6
2023-09-01,"CPI","M","ITC20",116.7
2023-10-01,"CPI","M","ITC20",116.1
2023-11-01,"CPI","M","ITC20",115.1
2023-12-01,"CPI","M","ITC20",116.2
2022-12-01,"CPI","M","ITC3",122.7
2023-01-01,"CPI","M","ITC3",122.7
2023-02-01,"CPI","M","ITC3",122.8
2023-03-01,"CPI","M","ITC3",122.4
2023-04-01,"CPI","M","ITC3",122.5
2023-05-01,"CPI","M","ITC3",122.9
2023-06-01,"CPI","M","ITC3",123
2023-07-01,"CPI","M","ITC3",123.6
2023-08-01,"CPI","M","ITC3",123.7
2023-09-01,"CPI","M","ITC3",123.6
2023-10-01,"CPI","M","ITC3",123.1
2023-11-01,"CPI","M","ITC3",122.1
2023-12-01,"CPI","M","ITC3",122.3
2022-12-01,"CPI","M","ITC31",119.6
2023-01-01,"CPI","M","ITC31",119.5
2023-02-01,"CPI","M","ITC31",119.6
2023-03-01,"CPI","M","ITC31",119.1
2023-04-01,"CPI","M","ITC31",119.1
2023-05-01,"CPI","M","ITC31",119.5
2023-06-01,"CPI","M","ITC31",119.5
2023-07-01,"CPI","M","ITC31",120
2023-08-01,"CPI","M","ITC31",120.3
2023-09-01,"CPI","M","ITC31",119.9
2023-10-01,"CPI","M","ITC31",119.3
2023-11-01,"CPI","M","ITC31",118.6
2023-12-01,"CPI","M","ITC31",118.9
2023-01-01,"CPI","M","ITC32",NA
2023-02-01,"CPI","M","ITC32",NA
2023-03-01,"CPI","M","ITC32",NA
2023-04-01,"CPI","M","ITC32",NA
2023-05-01,"CPI","M","ITC32",NA
2023-06-01,"CPI","M","ITC32",NA
2023-07-01,"CPI","M","ITC32",NA
2023-08-01,"CPI","M","ITC32",NA
2023-09-01,"CPI","M","ITC32",NA
2023-10-01,"CPI","M","ITC32",NA
2023-11-01,"CPI","M","ITC32",NA
2023-12-01,"CPI","M","ITC32",NA
2022-12-01,"CPI","M","ITC33",122.9
2023-01-01,"CPI","M","ITC33",123
2023-02-01,"CPI","M","ITC33",123.1
2023-03-01,"CPI","M","ITC33",122.7
2023-04-01,"CPI","M","ITC33",122.8
2023-05-01,"CPI","M","ITC33",123.2
2023-06-01,"CPI","M","ITC33",123.5
2023-07-01,"CPI","M","ITC33",124.1
2023-08-01,"CPI","M","ITC33",124.1
2023-09-01,"CPI","M","ITC33",124
2023-10-01,"CPI","M","ITC33",123.5
2023-11-01,"CPI","M","ITC33",122.4
2023-12-01,"CPI","M","ITC33",122.6
2022-12-01,"CPI","M","ITC34",120.8
2023-01-01,"CPI","M","ITC34",NA
2023-02-01,"CPI","M","ITC34",NA
2022-12-01,"CPI","M","ITC4",117.6
2023-01-01,"CPI","M","ITC4",117.8
2023-02-01,"CPI","M","ITC4",118.2
2023-03-01,"CPI","M","ITC4",117.7
2023-04-01,"CPI","M","ITC4",118.3
2023-05-01,"CPI","M","ITC4",118.4
2023-06-01,"CPI","M","ITC4",118.8
2023-07-01,"CPI","M","ITC4",118.6
2023-08-01,"CPI","M","ITC4",118.9
2023-09-01,"CPI","M","ITC4",119.4
2023-10-01,"CPI","M","ITC4",119
2023-11-01,"CPI","M","ITC4",118.3
2023-12-01,"CPI","M","ITC4",118.6
2022-12-01,"CPI","M","ITC41",118
2023-01-01,"CPI","M","ITC41",118.3
2023-02-01,"CPI","M","ITC41",118.7
2023-03-01,"CPI","M","ITC41",118.2
2023-04-01,"CPI","M","ITC41",118.8
2023-05-01,"CPI","M","ITC41",118.8
2023-06-01,"CPI","M","ITC41",119.6
2023-07-01,"CPI","M","ITC41",119.6
2023-08-01,"CPI","M","ITC41",119.8
2023-09-01,"CPI","M","ITC41",120
2023-10-01,"CPI","M","ITC41",119.9
2023-11-01,"CPI","M","ITC41",119.3
2023-12-01,"CPI","M","ITC41",119.6
2022-12-01,"CPI","M","ITC42",113.4
2023-01-01,"CPI","M","ITC42",114
2023-02-01,"CPI","M","ITC42",114.2
2023-03-01,"CPI","M","ITC42",113.9
2023-04-01,"CPI","M","ITC42",114.8
2023-05-01,"CPI","M","ITC42",114.9
2023-06-01,"CPI","M","ITC42",115.2
2023-07-01,"CPI","M","ITC42",115.2
2023-08-01,"CPI","M","ITC42",115.9
2023-09-01,"CPI","M","ITC42",115.8
2023-10-01,"CPI","M","ITC42",115.2
2023-11-01,"CPI","M","ITC42",113.8
2023-12-01,"CPI","M","ITC42",113.9
2023-01-01,"CPI","M","ITC44",NA
2023-02-01,"CPI","M","ITC44",NA
2022-12-01,"CPI","M","ITC45",118.2
2023-01-01,"CPI","M","ITC45",118.4
2023-02-01,"CPI","M","ITC45",119.1
2023-03-01,"CPI","M","ITC45",118.4
2023-04-01,"CPI","M","ITC45",119.1
2023-05-01,"CPI","M","ITC45",119.1
2023-06-01,"CPI","M","ITC45",119.7
2023-07-01,"CPI","M","ITC45",119.2
2023-08-01,"CPI","M","ITC45",119.1
2023-09-01,"CPI","M","ITC45",120.7
2023-10-01,"CPI","M","ITC45",120.1
2023-11-01,"CPI","M","ITC45",119.3
2023-12-01,"CPI","M","ITC45",119.4
2022-12-01,"CPI","M","ITC46",115.7
2023-01-01,"CPI","M","ITC46",115.7
2023-02-01,"CPI","M","ITC46",115.8
2023-03-01,"CPI","M","ITC46",115.4
2023-04-01,"CPI","M","ITC46",115.9
2023-05-01,"CPI","M","ITC46",116.4
2023-06-01,"CPI","M","ITC46",116.3
2023-07-01,"CPI","M","ITC46",116.4
2023-08-01,"CPI","M","ITC46",116.8
2023-09-01,"CPI","M","ITC46",117.1
2023-10-01,"CPI","M","ITC46",116.8
2023-11-01,"CPI","M","ITC46",116.1
2023-12-01,"CPI","M","ITC46",116.3
2022-12-01,"CPI","M","ITC47",117.8
2023-01-01,"CPI","M","ITC47",117.9
2023-02-01,"CPI","M","ITC47",118.5
2023-03-01,"CPI","M","ITC47",117.8
2023-04-01,"CPI","M","ITC47",118.4
2023-05-01,"CPI","M","ITC47",118.6
2023-06-01,"CPI","M","ITC47",119
2023-07-01,"CPI","M","ITC47",118.7
2023-08-01,"CPI","M","ITC47",119.3
2023-09-01,"CPI","M","ITC47",118.5
2023-10-01,"CPI","M","ITC47",118.5
2023-11-01,"CPI","M","ITC47",118
2023-12-01,"CPI","M","ITC47",118.3
2022-12-01,"CPI","M","ITC48",118.1
2023-01-01,"CPI","M","ITC48",118.1
2023-02-01,"CPI","M","ITC48",118.4
2023-03-01,"CPI","M","ITC48",117.9
2023-04-01,"CPI","M","ITC48",118.5
2023-05-01,"CPI","M","ITC48",118.5
2023-06-01,"CPI","M","ITC48",118.6
2023-07-01,"CPI","M","ITC48",118.8
2023-08-01,"CPI","M","ITC48",119.1
2023-09-01,"CPI","M","ITC48",118.9
2023-10-01,"CPI","M","ITC48",118.6
2023-11-01,"CPI","M","ITC48",118.2
2023-12-01,"CPI","M","ITC48",118.5
2022-12-01,"CPI","M","ITC4A",116.4
2023-01-01,"CPI","M","ITC4A",116.2
2023-02-01,"CPI","M","ITC4A",116.2
2023-03-01,"CPI","M","ITC4A",115.5
2023-04-01,"CPI","M","ITC4A",116
2023-05-01,"CPI","M","ITC4A",116
2023-06-01,"CPI","M","ITC4A",116.2
2023-07-01,"CPI","M","ITC4A",116.2
2023-08-01,"CPI","M","ITC4A",116.7
2023-09-01,"CPI","M","ITC4A",116.5
2023-10-01,"CPI","M","ITC4A",116.3
2023-11-01,"CPI","M","ITC4A",115.9
2023-12-01,"CPI","M","ITC4A",116.1
2022-12-01,"CPI","M","ITC4B",117.4
2023-01-01,"CPI","M","ITC4B",117.7
2023-02-01,"CPI","M","ITC4B",118.1
2023-03-01,"CPI","M","ITC4B",117.6
2023-04-01,"CPI","M","ITC4B",118.5
2023-05-01,"CPI","M","ITC4B",118.3
2023-06-01,"CPI","M","ITC4B",118.2
2023-07-01,"CPI","M","ITC4B",118.3
2023-08-01,"CPI","M","ITC4B",118.8
2023-09-01,"CPI","M","ITC4B",119.2
2023-10-01,"CPI","M","ITC4B",118.6
2023-11-01,"CPI","M","ITC4B",118.1
2023-12-01,"CPI","M","ITC4B",118.3
2022-12-01,"CPI","M","ITC43",117.9
2023-01-01,"CPI","M","ITC43",117.9
2023-02-01,"CPI","M","ITC43",117.9
2023-03-01,"CPI","M","ITC43",117.7
2023-04-01,"CPI","M","ITC43",118.6
2023-05-01,"CPI","M","ITC43",118.6
2023-06-01,"CPI","M","ITC43",118.8
2023-07-01,"CPI","M","ITC43",118.9
2023-08-01,"CPI","M","ITC43",119.5
2023-09-01,"CPI","M","ITC43",119.6
2023-10-01,"CPI","M","ITC43",118.9
2023-11-01,"CPI","M","ITC43",118.3
2023-12-01,"CPI","M","ITC43",118.6
2022-12-01,"CPI","M","ITC49",118
2023-01-01,"CPI","M","ITC49",118.4
2023-02-01,"CPI","M","ITC49",118.4
2023-03-01,"CPI","M","ITC49",117.8
2023-04-01,"CPI","M","ITC49",118.2
2023-05-01,"CPI","M","ITC49",118
2023-06-01,"CPI","M","ITC49",118.1
2023-07-01,"CPI","M","ITC49",118.5
2023-08-01,"CPI","M","ITC49",118.9
2023-09-01,"CPI","M","ITC49",118.6
2023-10-01,"CPI","M","ITC49",118.7
2023-11-01,"CPI","M","ITC49",118.3
2023-12-01,"CPI","M","ITC49",118.8
2022-12-01,"CPI","M","ITD",119.3
2023-01-01,"CPI","M","ITD",119.7
2023-02-01,"CPI","M","ITD",119.6
2023-03-01,"CPI","M","ITD",119.1
2023-04-01,"CPI","M","ITD",119.7
2023-05-01,"CPI","M","ITD",120.1
2023-06-01,"CPI","M","ITD",120.1
2023-07-01,"CPI","M","ITD",120.2
2023-08-01,"CPI","M","ITD",120.7
2023-09-01,"CPI","M","ITD",120.8
2023-10-01,"CPI","M","ITD",120.5
2023-11-01,"CPI","M","ITD",119.9
2023-12-01,"CPI","M","ITD",120.3
2022-12-01,"CPI","M","ITDA",123.6
2023-01-01,"CPI","M","ITDA",124.4
2023-02-01,"CPI","M","ITDA",124.5
2023-03-01,"CPI","M","ITDA",124.5
2023-04-01,"CPI","M","ITDA",124.7
2023-05-01,"CPI","M","ITDA",124.9
2023-06-01,"CPI","M","ITDA",124.5
2023-07-01,"CPI","M","ITDA",124.7
2023-08-01,"CPI","M","ITDA",125.6
2023-09-01,"CPI","M","ITDA",124.5
2023-10-01,"CPI","M","ITDA",124
2023-11-01,"CPI","M","ITDA",123.4
2023-12-01,"CPI","M","ITDA",124.8
2022-12-01,"CPI","M","ITD1",125.7
2023-01-01,"CPI","M","ITD1",126.7
2023-02-01,"CPI","M","ITD1",126.7
2023-03-01,"CPI","M","ITD1",127
2023-04-01,"CPI","M","ITD1",127.2
2023-05-01,"CPI","M","ITD1",127.6
2023-06-01,"CPI","M","ITD1",127.2
2023-07-01,"CPI","M","ITD1",127.5
2023-08-01,"CPI","M","ITD1",128.1
2023-09-01,"CPI","M","ITD1",127.5
2023-10-01,"CPI","M","ITD1",127.1
2023-11-01,"CPI","M","ITD1",126.5
2023-12-01,"CPI","M","ITD1",127.7
2022-12-01,"CPI","M","ITD10",125.7
2023-01-01,"CPI","M","ITD10",126.7
2023-02-01,"CPI","M","ITD10",126.7
2023-03-01,"CPI","M","ITD10",127
2023-04-01,"CPI","M","ITD10",127.2
2023-05-01,"CPI","M","ITD10",127.6
2023-06-01,"CPI","M","ITD10",127.2
2023-07-01,"CPI","M","ITD10",127.5
2023-08-01,"CPI","M","ITD10",128.1
2023-09-01,"CPI","M","ITD10",127.5
2023-10-01,"CPI","M","ITD10",127.1
2023-11-01,"CPI","M","ITD10",126.5
2023-12-01,"CPI","M","ITD10",127.7
2022-12-01,"CPI","M","ITD2",122
2023-01-01,"CPI","M","ITD2",122.6
2023-02-01,"CPI","M","ITD2",122.7
2023-03-01,"CPI","M","ITD2",122.5
2023-04-01,"CPI","M","ITD2",122.7
2023-05-01,"CPI","M","ITD2",122.8
2023-06-01,"CPI","M","ITD2",122.3
2023-07-01,"CPI","M","ITD2",122.4
2023-08-01,"CPI","M","ITD2",123.6
2023-09-01,"CPI","M","ITD2",122
2023-10-01,"CPI","M","ITD2",121.3
2023-11-01,"CPI","M","ITD2",120.8
2023-12-01,"CPI","M","ITD2",122.5
2022-12-01,"CPI","M","ITD20",122
2023-01-01,"CPI","M","ITD20",122.6
2023-02-01,"CPI","M","ITD20",122.7
2023-03-01,"CPI","M","ITD20",122.5
2023-04-01,"CPI","M","ITD20",122.7
2023-05-01,"CPI","M","ITD20",122.8
2023-06-01,"CPI","M","ITD20",122.3
2023-07-01,"CPI","M","ITD20",122.4
2023-08-01,"CPI","M","ITD20",123.6
2023-09-01,"CPI","M","ITD20",122
2023-10-01,"CPI","M","ITD20",121.3
2023-11-01,"CPI","M","ITD20",120.8
2023-12-01,"CPI","M","ITD20",122.5
2022-12-01,"CPI","M","ITD3",118.5
2023-01-01,"CPI","M","ITD3",118.8
2023-02-01,"CPI","M","ITD3",118.9
2023-03-01,"CPI","M","ITD3",118.2
2023-04-01,"CPI","M","ITD3",119
2023-05-01,"CPI","M","ITD3",119.5
2023-06-01,"CPI","M","ITD3",119.5
2023-07-01,"CPI","M","ITD3",119.7
2023-08-01,"CPI","M","ITD3",120.1
2023-09-01,"CPI","M","ITD3",120.6
2023-10-01,"CPI","M","ITD3",120.2
2023-11-01,"CPI","M","ITD3",119.6
2023-12-01,"CPI","M","ITD3",119.7
2022-12-01,"CPI","M","ITD31",118.7
2023-01-01,"CPI","M","ITD31",118.4
2023-02-01,"CPI","M","ITD31",118.7
2023-03-01,"CPI","M","ITD31",118.1
2023-04-01,"CPI","M","ITD31",119.2
2023-05-01,"CPI","M","ITD31",119.4
2023-06-01,"CPI","M","ITD31",119.6
2023-07-01,"CPI","M","ITD31",120.2
2023-08-01,"CPI","M","ITD31",120.5
