"date","IND","FREQ","DIM","obsValue"
2021-06-01,"GDP","Q","IT",2.566
2021-09-01,"GDP","Q","IT",2.77
2021-12-01,"GDP","Q","IT",0.795
2022-03-01,"GDP","Q","IT",0.09
2022-06-01,"GDP","Q","IT",1.386
2022-09-01,"GDP","Q","IT",0.337
2022-12-01,"GDP","Q","IT",-0.183
2023-03-01,"GDP","Q","IT",0.565
2023-06-01,"GDP","Q","IT",-0.381
2023-09-01,"GDP","Q","IT",0.043
2022-11-01,"IPI","M","IT",103.5
2022-12-01,"IPI","M","IT",104.4
2023-01-01,"IPI","M","IT",103.6
2023-02-01,"IPI","M","IT",103.6
2023-03-01,"IPI","M","IT",102.9
2023-04-01,"IPI","M","IT",100.8
2023-05-01,"IPI","M","IT",102.4
2023-06-01,"IPI","M","IT",102.9
2023-07-01,"IPI","M","IT",102
2023-08-01,"IPI","M","IT",102.2
2023-09-01,"IPI","M","IT",102.2
2023-10-01,"IPI","M","IT",102
2023-11-01,"IPI","M","IT",100.5
2022-10-01,"VRTSI","M","IT",98.7
2022-11-01,"VRTSI","M","IT",99
2022-12-01,"VRTSI","M","IT",98.1
2023-01-01,"VRTSI","M","IT",99.2
2023-02-01,"VRTSI","M","IT",98.1
2023-03-01,"VRTSI","M","IT",97.7
2023-04-01,"VRTSI","M","IT",97.4
2023-05-01,"VRTSI","M","IT",97.5
2023-06-01,"VRTSI","M","IT",96.9
2023-07-01,"VRTSI","M","IT",96.6
2023-08-01,"VRTSI","M","IT",96
2023-09-01,"VRTSI","M","IT",95.4
2023-10-01,"VRTSI","M","IT",95.7
2021-06-01,"GDP_COMP","Q","GDP_MP",18.052
2021-09-01,"GDP_COMP","Q","GDP_MP",6.676
2021-12-01,"GDP_COMP","Q","GDP_MP",7.964
2022-03-01,"GDP_COMP","Q","GDP_MP",6.345
2022-06-01,"GDP_COMP","Q","GDP_MP",5.133
2022-09-01,"GDP_COMP","Q","GDP_MP",2.608
2022-12-01,"GDP_COMP","Q","GDP_MP",1.634
2023-03-01,"GDP_COMP","Q","GDP_MP",2.123
2023-06-01,"GDP_COMP","Q","GDP_MP",0.34
2023-09-01,"GDP_COMP","Q","GDP_MP",0.138
2021-06-01,"GDP_COMP","Q","NFCE",8.555
2021-09-01,"GDP_COMP","Q","NFCE",2.655
